x,per_episode
0.000000000000000000e+00,-4.024071122018926161e+01
1.000000000000000000e+00,-3.993010645912638523e+01
2.000000000000000000e+00,-4.636928035674976201e+01
3.000000000000000000e+00,-4.471854634419529617e+01
4.000000000000000000e+00,-3.842015326642006556e+01
5.000000000000000000e+00,-4.048185566172124084e+01
6.000000000000000000e+00,-4.008038219786771350e+01
7.000000000000000000e+00,-4.576412185718867676e+01
8.000000000000000000e+00,-3.908474773122310353e+01
9.000000000000000000e+00,-3.985062301279240415e+01
1.000000000000000000e+01,-4.025346366135896403e+01
1.100000000000000000e+01,-3.913174372510540167e+01
1.200000000000000000e+01,-4.231066573351414917e+01
1.300000000000000000e+01,-3.921059206399205976e+01
1.400000000000000000e+01,-3.748644744689978126e+01
1.500000000000000000e+01,-4.135181286975382875e+01
1.600000000000000000e+01,-4.549578621290095981e+01
1.700000000000000000e+01,-4.515012715960528311e+01
1.800000000000000000e+01,-4.771208888634351553e+01
1.900000000000000000e+01,-3.777863229413381418e+01
2.000000000000000000e+01,-4.344779666888067737e+01
2.100000000000000000e+01,-4.241173662720473914e+01
2.200000000000000000e+01,-4.180272048834209642e+01
2.300000000000000000e+01,-4.007892240272412465e+01
2.400000000000000000e+01,-6.299714266093581045e+02
2.500000000000000000e+01,-3.941999704048208031e+01
2.600000000000000000e+01,-4.606317342726794095e+01
2.700000000000000000e+01,-5.660758665988197436e+01
2.800000000000000000e+01,-4.558974552814585479e+01
2.900000000000000000e+01,-4.473662225620203969e+01
3.000000000000000000e+01,-4.237306969311428873e+01
3.100000000000000000e+01,-6.032259396636908377e+01
3.200000000000000000e+01,-4.146231498999964771e+01
3.300000000000000000e+01,-5.208236232680568634e+01
3.400000000000000000e+01,-1.170625788288412963e+02
3.500000000000000000e+01,-3.796982267601909911e+01
3.600000000000000000e+01,-4.243564225742080964e+01
3.700000000000000000e+01,-9.436353143161558421e+01
3.800000000000000000e+01,-4.439353262190132199e+01
3.900000000000000000e+01,-5.731690396763083584e+01
4.000000000000000000e+01,-4.748445347738095990e+01
4.100000000000000000e+01,-4.402840616533959661e+01
4.200000000000000000e+01,-3.815657053650538444e+01
4.300000000000000000e+01,-4.369062427038549856e+01
4.400000000000000000e+01,-4.330396411464263196e+01
4.500000000000000000e+01,-4.486561565940901630e+01
4.600000000000000000e+01,-4.567791144476691301e+01
4.700000000000000000e+01,-1.359417371351505324e+02
4.800000000000000000e+01,-3.737934388129374952e+01
4.900000000000000000e+01,-3.992638421622346812e+01
5.000000000000000000e+01,-4.084589913236392533e+01
5.100000000000000000e+01,-3.942500519988554686e+01
5.200000000000000000e+01,-4.094836554247173410e+01
5.300000000000000000e+01,-3.557449735172689742e+01
5.400000000000000000e+01,-4.333672642914201845e+01
5.500000000000000000e+01,-5.050387646364035277e+01
5.600000000000000000e+01,-3.985969772513663401e+01
5.700000000000000000e+01,-4.700826362483642384e+01
5.800000000000000000e+01,-3.782469373256773792e+01
5.900000000000000000e+01,-4.552561496839934563e+01
6.000000000000000000e+01,-4.698381684439097228e+01
6.100000000000000000e+01,-4.615422835389258438e+01
6.200000000000000000e+01,-3.750841200171753087e+01
6.300000000000000000e+01,-4.579210889020070852e+01
6.400000000000000000e+01,-4.146287807575014739e+01
6.500000000000000000e+01,-4.210226353480775430e+01
6.600000000000000000e+01,-3.751999962533580657e+01
6.700000000000000000e+01,-3.870939696858775392e+01
6.800000000000000000e+01,-4.036645777133686153e+01
6.900000000000000000e+01,-3.855725938722405033e+01
7.000000000000000000e+01,-4.550965236151520088e+01
7.100000000000000000e+01,-4.374836746272207222e+01
7.200000000000000000e+01,-4.228453334863336011e+01
7.300000000000000000e+01,-3.990517506992112828e+01
7.400000000000000000e+01,-4.408065467228320244e+01
7.500000000000000000e+01,-4.542320689676162715e+01
7.600000000000000000e+01,-4.879479565397713969e+01
7.700000000000000000e+01,-3.647956447349593390e+01
7.800000000000000000e+01,-4.344653246345176001e+01
7.900000000000000000e+01,-3.829363225855586705e+01
8.000000000000000000e+01,-3.820112804022580377e+01
8.100000000000000000e+01,-3.891789017611668555e+01
8.200000000000000000e+01,-4.585739238235996140e+01
8.300000000000000000e+01,-6.019371716586563537e+01
8.400000000000000000e+01,-3.563025492445117948e+01
8.500000000000000000e+01,-3.502771295107768879e+01
8.600000000000000000e+01,-1.520750479077067894e+02
8.700000000000000000e+01,-4.666997885424988368e+01
8.800000000000000000e+01,-4.208270362384440233e+01
8.900000000000000000e+01,-4.530646122586081503e+01
9.000000000000000000e+01,-3.452284098290863312e+01
9.100000000000000000e+01,-4.897814473550037206e+01
9.200000000000000000e+01,-3.945278951614803020e+01
9.300000000000000000e+01,-4.427820981630708275e+01
9.400000000000000000e+01,-4.272050496096230887e+01
9.500000000000000000e+01,-4.546609519861718240e+01
9.600000000000000000e+01,-6.169728470187758518e+01
9.700000000000000000e+01,-4.759407461027014818e+01
9.800000000000000000e+01,-4.086250879781417211e+01
9.900000000000000000e+01,-4.113298334830197689e+01
